impl,n,q,total_ns,total_s,ns_per_search,cache_refs,cache_misses,misses_per_search,miss_rate,bytes,l1_refs,l1_misses,l1_rate,l2_refs,l2_misses,l2_rate,l3_refs,l3_misses,l3_rate,branches,branch_misses,branch_rate
BST_EYT_PREF,4500000,10000000,2.20231e+09,2.20231,220.231,2.56546e+08,5.27865e+07,5.27865,0.205759,17129400,4.7092e+08,1.13908e+08,0.241884,0,0,0,7.28993e+06,317770,0.0435903,5.73289e+08,5.94036e+07,0.103619
BST_EYT_PREF_TWO,4500000,10000000,2.70372e+09,2.70372,270.372,2.67415e+08,5.38241e+07,5.38241,0.201276,17129400,8.71807e+08,9.44425e+07,0.10833,0,0,0,6.29145e+06,173998,0.0276563,9.02446e+08,6.28596e+07,0.0696546
BST_EYT_PREF_THREE,4500000,10000000,2.26521e+09,2.26521,226.521,2.44683e+08,5.33898e+07,5.33898,0.2182,17129400,1.63641e+09,7.66919e+07,0.0468658,0,0,0,5.5755e+06,112379,0.0201558,1.78699e+09,869961,0.000486832
BST_EYT_PREF_FOUR,4500000,10000000,7.09252e+09,7.09252,709.252,6.22094e+08,7.10996e+07,7.10996,0.114291,17129400,4.65438e+09,6.89242e+07,0.0148085,0,0,0,7.4735e+06,35435.4,0.00474147,6.17908e+09,6.18199e+07,0.0100047
BST_EYT_PREF_PROB,4500000,10000000,2.84784e+09,2.84784,284.784,1.87561e+08,4.11114e+07,4.11114,0.219189,17129400,2.99038e+08,9.0052e+07,0.301139,0,0,0,5.47704e+07,1.01894e+07,0.186039,5.373e+08,5.76664e+07,0.107326
BST_VEB,5000000,10000000,2.27587e+09,2.27587,227.587,3.73773e+08,1.50344e+08,15.0344,0.402233,19032852,2.82587e+08,1.28938e+08,0.456278,0,0,0,6.99675e+07,1.87369e+07,0.267795,4.16532e+08,5.87643e+07,0.14108
BST_EYT,5000000,10000000,2.48806e+09,2.48806,248.806,1.98527e+08,4.55061e+07,4.55061,0.229219,19032852,1.57259e+08,9.37547e+07,0.59618,0,0,0,5.75242e+07,1.11347e+07,0.193566,3.57008e+08,5.45602e+07,0.152826
BST_EYT_PREF,5000000,10000000,2.27221e+09,2.27221,227.221,2.6068e+08,5.78078e+07,5.78078,0.221757,19032852,4.74886e+08,1.16681e+08,0.245703,0,0,0,8.1731e+06,349242,0.0427307,5.78218e+08,5.94644e+07,0.102841
BST_EYT_PREF_TWO,5000000,10000000,2.78299e+09,2.78299,278.299,2.79259e+08,6.04195e+07,6.04195,0.216356,19032852,8.79404e+08,9.76614e+07,0.111054,0,0,0,6.81496e+06,199472,0.0292698,9.10629e+08,6.33125e+07,0.0695261
BST_EYT_PREF_THREE,5000000,10000000,2.35098e+09,2.35098,235.098,2.54332e+08,5.90061e+07,5.90061,0.232005,19032852,1.6545e+09,7.91306e+07,0.0478276,0,0,0,6.05445e+06,107929,0.0178265,1.80014e+09,2.04194e+06,0.00113432
BST_EYT_PREF_FOUR,5000000,10000000,7.1852e+09,7.1852,718.52,6.21191e+08,7.74147e+07,7.74147,0.124623,19032852,4.69965e+09,7.09324e+07,0.0150931,0,0,0,8.0069e+06,34453.6,0.00430299,6.23381e+09,6.18915e+07,0.00992835
BST_EYT_PREF_PROB,5000000,10000000,2.98337e+09,2.98337,298.337,1.94812e+08,4.56843e+07,4.56843,0.234505,19032852,3.00223e+08,9.26204e+07,0.308506,0,0,0,5.66109e+07,1.11783e+07,0.197459,5.40084e+08,5.76556e+07,0.106753
BST_VEB,5500000,10000000,2.35689e+09,2.35689,235.689,3.7892e+08,1.63101e+08,16.3101,0.430436,20934968,2.84244e+08,1.31e+08,0.460871,0,0,0,7.08783e+07,2.03189e+07,0.286673,4.19267e+08,5.90906e+07,0.140938
BST_EYT,5500000,10000000,2.55591e+09,2.55591,255.591,2.02173e+08,5.06365e+07,5.06365,0.250461,20934968,1.5809e+08,9.61163e+07,0.607986,0,0,0,5.80281e+07,1.22346e+07,0.210839,3.59517e+08,5.46548e+07,0.152023
BST_EYT_PREF,5500000,10000000,2.33019e+09,2.33019,233.019,2.64911e+08,6.36387e+07,6.36387,0.240226,20934968,4.77871e+08,1.19131e+08,0.249296,0,0,0,8.39686e+06,377939,0.0450095,5.82554e+08,5.9419e+07,0.101997
BST_EYT_PREF_TWO,5500000,10000000,2.84965e+09,2.84965,284.965,2.8274e+08,6.62004e+07,6.62004,0.234139,20934968,8.85573e+08,1.00173e+08,0.113116,0,0,0,7.33644e+06,225144,0.0306885,9.1733e+08,6.33769e+07,0.0690885
BST_EYT_PREF_THREE,5500000,10000000,2.39645e+09,2.39645,239.645,2.64824e+08,6.48378e+07,6.48378,0.244833,20934968,1.6661e+09,8.13207e+07,0.048809,0,0,0,6.81039e+06,106567,0.0156477,1.81433e+09,2.98835e+06,0.00164708
BST_EYT_PREF_FOUR,5500000,10000000,8.87122e+09,8.87122,887.122,6.35728e+08,8.78054e+07,8.78054,0.138118,20934968,4.73797e+09,7.24611e+07,0.0152937,0,0,0,8.73241e+06,27425.8,0.00314069,6.27871e+09,6.17536e+07,0.00983541
BST_EYT_PREF_PROB,5500000,10000000,3.05913e+09,3.05913,305.913,1.9958e+08,5.10093e+07,5.10093,0.255584,20934968,3.00872e+08,9.49894e+07,0.315713,0,0,0,5.73574e+07,1.23645e+07,0.21557,5.42906e+08,5.81412e+07,0.107092
BST_VEB,6000000,10000000,2.41807e+09,2.41807,241.807,3.85295e+08,1.75242e+08,17.5242,0.454827,22840668,2.85786e+08,1.33324e+08,0.466518,0,0,0,7.24612e+07,2.22394e+07,0.306915,4.21222e+08,5.95758e+07,0.141436
BST_EYT,6000000,10000000,2.65492e+09,2.65492,265.492,2.06458e+08,5.53851e+07,5.53851,0.268263,22840668,1.58843e+08,9.82981e+07,0.618838,0,0,0,5.88783e+07,1.33011e+07,0.225908,3.61493e+08,5.47483e+07,0.151451
